,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
75,Badredine Bouanani,dz ALG,"MF,FW",Nice,Ligue 1,20-075,2004,18,6,674,7.5,2,0,2,2,0,0,2,0,1.3,1.3,1.0,2.3,31,30,53,0.27,0.00,0.27,0.27,0.27,0.18,0.14,0.31,0.18,0.31
76,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,Ligue 1,23-100,2001,17,13,"1,152",12.8,1,0,1,1,0,0,3,0,0.5,0.5,0.7,1.1,26,77,36,0.08,0.00,0.08,0.08,0.08,0.04,0.05,0.09,0.04,0.09
77,Hicham Boudaoui,dz ALG,MF,Nice,Ligue 1,25-151,1999,17,17,"1,520",16.9,1,1,2,1,0,0,7,0,1.8,1.8,0.6,2.4,34,82,38,0.06,0.06,0.12,0.06,0.12,0.11,0.04,0.14,0.11,0.14
78,Justin Bourgault,fr FRA,DF,Brest,Ligue 1,19-160,2005,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,11,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.17,0.02,0.17
79,Benjamin Bourigeaud,fr FRA,MF,Rennes,Ligue 1,31-038,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,4,4,1.13,0.00,1.13,1.13,1.13,0.17,0.00,0.17,0.17,0.17
80,Bilal Brahimi,dz ALG,MF,Nice,Ligue 1,24-344,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,4,10,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07
81,Lilian Brassier,fr FRA,DF,Marseille,Ligue 1,25-111,1999,12,9,779,8.7,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.3,11,40,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
82,Lilian Brassier,fr FRA,DF,Rennes,Ligue 1,25-111,1999,3,3,245,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,8,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
83,Anthony Briançon,fr FRA,DF,Saint-Étienne,Ligue 1,30-085,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Aurélio Buta,pt POR,DF,Reims,Ligue 1,28-011,1997,19,18,"1,471",16.3,0,1,1,0,0,0,5,0,0.2,0.2,0.4,0.6,19,72,50,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03
